SEQ_AREA,Área,SEQ_AREA,NOM_CAMPO
4511,IRERÊ,537,IRERÊ
3952,ITAPU,828,ITAPU
4513,JAÇANÃ,538,JAÇANÃ
4338,JACUPEMBA,581,JACUPEMBA
4339,JACUTINGA,499,JACUTINGA
4340,JACUTINGA NORTE,641,JACUTINGA NORTE
3857,JANDAIA,438,JANDAIA
3860,JANDAIA SUL,871,Jandaia Sul
4150,JAPIIM,213,JAPIIM
4133,JAPUAÇU,566,JAPUAÇU
4134,JEQUIÁ,212,JEQUIÁ
4162,JIRIBATUBA,616,JIRIBATUBA
4514,JOÃO DE BARRO,491,JOÃO DE BARRO
4200,JUBARTE,216,JUBARTE
3859,JURITI,530,JURITI
4341,LAGOA BONITA,219,LAGOA BONITA
4343,LAGOA DO DOUTOR,901,LAGOA DO DOUTOR
3861,LAGOA DO PAULO,226,LAGOA DO PAULO
3862,LAGOA DO PAULO NORTE,442,LAGOA DO PAULO NORTE
3863,LAGOA DO PAULO SUL,462,LAGOA DO PAULO SUL
4135,LAGOA PACAS,228,LAGOA PACAS
4345,LAGOA PARDA,225,LAGOA PARDA
4346,LAGOA PARDA NORTE,229,LAGOA PARDA NORTE
3953,LAGOSTA,382,LAGOSTA
4523,MAÇARICO,765,MAÇARICO
147564,MÃE-DA-LUA,34182,Mãe-da-lua
4164,MANATI,254,MANATI
4203,MANGANGÁ,482,MANGANGÁ
3871,MARITACA,598,MARITACA
4052,MATO GROSSO,245,MATO GROSSO
4053,MATO GROSSO NOROESTE,667,MATO GROSSO NOROESTE
4054,MATO GROSSO NORTE,609,MATO GROSSO NORTE
4055,MATO GROSSO SUDOESTE,668,MATO GROSSO SUDOESTE
4056,MATO GROSSO SUL,650,MATO GROSSO SUL
3957,MEXILHÃO,434,MEXILHÃO
4165,MORRO DO BARRO,559,MORRO DO BARRO
4353,MOSQUITO,258,Mosquito
4354,MOSQUITO NORTE,638,MOSQUITO NORTE
4136,MUTUM,570,MUTUM
4211,NAUTILUS,468,NAUTILUS
413897,NEON,34631,NEON
413898,NEON SUL,34632,NEON SUL
3958,NORTE DE BERBIGÃO,864,NORTE DE BERBIGÃO
4528,NORTE DE PESCADA,268,NORTE DE PESCADA
3959,NORTE DE SURURU,868,NORTE DE SURURU
4529,OESTE DE UBARANA,269,OESTE DE UBARANA
3960,OLIVA,546,OLIVA
4213,OSTRA,448,OSTRA
4266,PAPA-TERRA,494,PAPA-TERRA
3890,PARIRI,769,PARIRI
778,PARU,271,PARU
4139,PARU,271,PARU
4582,PATATIVA,704,PATATIVA
4583,PATURI,806,PATURI
4004,PEO-1BRSA1146RJS_IARA_ENTORNO_CCO,825,PEO-1BRSA1146RJS_Iara_Entorno_CCO
4269,PEREGRINO,484,PEREGRINO
4585,PERIQUITO,540,PERIQUITO
495782,PERIQUITO NORDESTE,34734,Periquito Nordeste
321308,PERIQUITO NORTE,34539,PERIQUITO NORTE
4168,PINAÚNA,509,PINAÚNA
4005,PIRACABA,754,PIRACABA
4006,PIRACUCÁ,525,PIRACUCÁ
4270,PIRAMBU,543,PIRAMBU
4079,PIRANEMA,432,PIRANEMA
4080,PIRANEMA SUL,739,PIRANEMA SUL
4007,PIRAPITANGA,507,PIRAPITANGA
4272,PITANGOLA,792,PITANGOLA
4588,PITIGUARI,523,PITIGUARI
4273,POLVO,446,POLVO
4083,RABO BRANCO,642,RABO BRANCO
4275,RÊMORA,793,RÊMORA
4600,RIACHO VELHO,602,RIACHO VELHO
4602,RIO DO CARMO,716,RIO DO CARMO
4400,RIO IPIRANGA,623,RIO IPIRANGA
4401,RIO ITAÚNAS,298,RIO ITAÚNAS
4404,RIO MARIRICU SUL,717,RIO MARIRICU SUL
4406,RIO PRETO,309,RIO PRETO
4408,RIO PRETO SUDESTE,640,RIO PRETO SUDESTE
4411,RIO SÃO MATEUS OESTE,596,RIO SÃO MATEUS OESTE
4605,ROLINHA,554,ROLINHA
4607,SABIÁ BICO-DE-OSSO,690,SABIÁ BICO-DE-OSSO
4608,SABIÁ DA MATA,678,SABIÁ DA MATA
4412,SAIRA,521,SAIRA
4276,SALEMA,324,SALEMA
4609,SALEMA BRANCA,437,SALEMA BRANCA
4611,SANHAÇU,606,SANHAÇU
3915,SANTANA,323,SANTANA
4619,SÃO MANOEL,654,SÃO MANOEL
4414,SÃO MATEUS,340,SÃO MATEUS
4415,SÃO MATEUS LESTE,649,SÃO MATEUS LESTE
4008,SAPINHOÁ,620,SAPINHOÁ
4169,SARDINHA,326,SARDINHA
3916,SAUÍPE,332,SAUÍPE
4142,SEBASTIÃO FERREIRA,335,SEBASTIÃO FERREIRA
4124,SEMPRE VIVA,600,SEMPRE VIVA
4009,SÉPIA,827,SÉPIA
4413,SERIEMA,531,SERIEMA
4616,SIBITE,683,SIBITE
4617,SIRI,339,SIRI
4088,SIRIRIZINHO OESTE,698,SIRIRIZINHO OESTE
4089,SIRIRIZINHO SUL,665,SIRIRIZINHO SUL
3920,SOCORRO,327,SOCORRO
3921,SOCORRO EXTENSÃO,330,SOCORRO EXTENSÃO
4012,SUL DE BERBIGÃO,866,SUL DE BERBIGÃO
4143,SUL DE CORURIPE,328,SUL DE CORURIPE
4011,SUL DE SAPINHOÁ,829,SUL DE SAPINHOÁ
4013,SUL DE SURURU,870,SUL DE SURURU
4010,SUL DE TUPI,824,SUL DE TUPI
4416,TABUIAIÁ,532,TABUIAIÁ
4145,TABULEIRO DOS MARTINS,354,TABULEIRO DOS MARTINS
4016,TAMBAÚ,480,TAMBAÚ
4017,TAMBUATÁ,471,TAMBUATÁ
3927,TANGARÁ,503,TANGARÁ
3928,TAPIRANGA,713,TAPIRANGA
3929,TAPIRANGA NORTE,723,TAPIRANGA NORTE
4091,TARTARUGA,351,TARTARUGA
4277,TARTARUGA MESTIÇA,776,TARTARUGA MESTIÇA
4278,TARTARUGA VERDE,687,TARTARUGA VERDE
4092,TATUI,321,TATUI
3932,TIÊ,703,TIÊ
4093,TIGRE,558,TIGRE
4622,TIZIU,688,Tiziu
4626,TRINCA FERRO,590,TRINCA FERRO
3935,TROVOADA,707,TROVOADA
4280,TUBARÃO AREIA,761,TUBARÃO AREIA
4281,TUBARÃO AZUL,712,TUBARÃO AZUL
4282,TUBARÃO GATO,781,TUBARÃO GATO
4283,TUBARÃO MARTELO,748,TUBARÃO MARTELO
4284,TUBARÃO TIGRE,738,TUBARÃO TIGRE
4417,TUCANO,670,TUCANO
3955,TUPI,535,TUPI
3936,UIRAPURU,439,UIRAPURU
3937,UIRAPURU SUDOESTE,708,UIRAPURU SUDOESTE
4019,URUGUÁ,506,URUGUÁ
4630,URUTAU (LICITADO),599,URUTAU (Licitado)
4288,XERELETE,470,XERELETE
