SEQ_AREA;Área;VAL_NACIONAL;DSC_FASE;tem correspondente?
1092;BC-60;5.255.098.399.999.990;Desenvolvimento;Não
1314;BCED;35.923.556.999.999.900;Desenvolvimento;Não
1099;BD;5.765.391.559.900.000;Desenvolvimento;Não
1099;BD;7.978.387.118.905.080;Produção;Não
2118;BE;89850289.9;Desenvolvimento;Não
2118;BE;9.300.867.180.362.800;Produção;Não
4640;BEIJA-FLOR;19.981.944.800.000.000;Desenvolvimento;Sim
4640;BEIJA-FLOR;29822.52;Produção;Sim
4306;BEM-TE-VI;0;Desenvolvimento;Sim
4306;BEM-TE-VI;30933.88;Produção;Sim
2119;BEN;1.513.351.847.799.990;Desenvolvimento;Não
2119;BEN;10.999.428.562.262.600;Produção;Não
1316;BES-100;816100.32;Desenvolvimento;Não
1320;BFRD;22.533.870.000.000.000;Desenvolvimento;Não
1100;BG;7.933.030.669.000.000;Desenvolvimento;Não
1100;BG;19.828.715.129.000.000;Produção;Não
1101;BI;9.182.881.899.199.990;Desenvolvimento;Não
1101;BI;2.390.481.883.602.020;Produção;Não
1321;BI;7.423.077.007.999.990;Desenvolvimento;Não
1321;BI;8.010.608.414.000.000;Produção;Não
4305;BIGUÁ;12.864.011.660.000.000;Desenvolvimento;Sim
4305;BIGUÁ;52.765.338.734.046.100;Produção;Sim
4182;BIJUPIRÁ;8.712.052.103.703.060;Desenvolvimento;Sim
4182;BIJUPIRÁ;3.159.790.432.352.150;Produção;Sim
4477;BIQUARA;8.511.410.078.000.000;Desenvolvimento;Sim
4477;BIQUARA;15.720.184.170.000.000;Produção;Sim
1102;BJ;4.744.735.466.211.650;Desenvolvimento;Não
1102;BJ;12.259.921.254.796.300;Produção;Não
2468;BJ;1077428.93;Desenvolvimento;Não
2468;BJ;5.091.439.939.061.040;Produção;Não
2120;BJZ;15.933.255.249.999.900;Desenvolvimento;Não
2120;BJZ;11.167.934.621.521.900;Produção;Não
1125;BM-C-7;30.356.523.570.599.900;Produção;Não
1126;BM-C-8;65.375.590.308.331.100;Produção;Não
2809;BM-S-11;20.550.201.339.060.000;Desenvolvimento;Não
2823;BM-S-24;1120458396;Desenvolvimento;Não
2840;BM-S-8;8.400.330.700.000.000;Desenvolvimento;Não
2841;BM-S-9;33.290.976.942.200.000;Desenvolvimento;Não
3471;BM-SEAL-4;35.747.637.160.000.000;Desenvolvimento;Não
1128;BO;6.826.407.023.299.990;Desenvolvimento;Não
1128;BO;20.761.633.996.914.000;Produção;Não
