NOM_CAMPO,NOM_ESTADO,NUM_CONTRATO
BREJO GRANDE,Sergipe,480000038469751
BURACICA,Bahia,480000036359746
BURIZINHO (Licitado),Bahia,""
BÚZIOS,Rio de Janeiro,48610012913201005
CABOCLINHO,Rio Grande do Norte,486100092272002
CABURÉ,Bahia,48610001425200840
Caburé Leste,Bahia,48610000057201461
CAÇÃO,Espírito Santo,480000037359791
CACHALOTE,Espírito Santo,480000035609749
CACHOEIRINHA,Rio Grande do Norte,480000037919761
CACIMBAS,Espírito Santo,480000037369753
CAIOBA,Sergipe,480000038369706
CAIPE VELHO,(NÃO CADASTRADO),""
Camaçari,(NÃO CADASTRADO),48610222006201901
Camaçari,Bahia,480000038819752
CAMARÃO,Bahia,486100038902000
CAMARÃO NORTE,Bahia,480000035189782
CAMARUPIM,Espírito Santo,480000035359700
CAMARUPIM NORTE,Espírito Santo,486100107242001
CAMBACICA,Bahia,486100092282002
CAMORIM,Sergipe,480000038379761
CAMPAINHA AZUL,(NÃO CADASTRADO),48610005402201371
CAMPO GRANDE,Espírito Santo,480000037379716
CANABRAVA,Bahia,480000036379771
CANAPU,Espírito Santo,480000035359700
CANÁRIO,Bahia,486100038992000
Canário da Terra,Bahia,48610000069201495
Canário da Terra Sul,Bahia,48610000071201464
CANCÃ,Espírito Santo,486100094912003
Cancã Leste,Espírito Santo,48610005403201316
CANDEIAS,Bahia,480000036389734
CANGOÁ,Espírito Santo,480000039029721
CANTAGALO,Bahia,480000036399705
CANTO DO AMARO,Rio Grande do Norte,480000037929724
CARACATU,Bahia,""
CARAPANAÚBA,Amazonas,480000038689794
CARAPEBA,Rio de Janeiro,480000037119722
CARAPIA,Rio de Janeiro,480000035779741
CARAPICU,Rio de Janeiro,480000035579734
CARAPITANGA,Sergipe,48610009275200571
CARAPITANGA (Licitado),Sergipe,480000034999730
CARAPÓ,Espírito Santo,480000035359700
CARATAÍ,Rio de Janeiro,480000035579734
CARATINGA,Rio de Janeiro,480000038989755
CARAÚNA,Ceará,480000039119711
CARAVELA,Paraná,480000038659704
CARCARÁ,Rio Grande do Norte,48610009127200555
CARDEAL,Rio Grande do Norte,486100080002004
CARDEAL AMARELO,Bahia,48610001440200898
CARDEAL AMARELO OESTE,Bahia,48610001439200863
CARDEAL DO NORDESTE,Bahia,48610001440200898
CARDEAL DO NORDESTE LESTE,Bahia,48610010825201575
CARDEAL-BA,Bahia,480000035149721
CARMÓPOLIS,Sergipe,480000038479714
CARMÓPOLIS NOROESTE,Sergipe,48610009197200511
CARMÓPOLIS SUDOESTE,Sergipe,48610009197200511
CARNAUBAIS,Rio Grande do Norte,""
CARNAUBAIS VELHO,Rio Grande do Norte,""
CASSARONGONGO,Bahia,480000036409786
CASTANHAL,Sergipe,480000038489787
CATUÁ,Espírito Santo,480000035609749
CAVALO-MARINHO,Santa Catarina,480000035729728
CAXAREU,Espírito Santo,480000035609749
CEXIS,Bahia,480000036419749
CHAUÁ,Rio Grande do Norte,48610007481200626
CHERNE,Rio de Janeiro,480000037279762
CHOPIM,Rio Grande do Norte,486100079952004
CIDADE DE ARACAJU,Sergipe,48610009284200561
CIDADE DE ARACAJU (Licitado),Sergipe,""
CIDADE DE CORURIPE,(NÃO CADASTRADO),""
CIDADE DE ENTRE RIOS,Bahia,480000036429710
CIDADE DE PIRAMBU,Sergipe,""
CIDADE DE SÃO MIGUEL DOS CAMPOS,Alagoas,480000038509729
CIDADE DE SEBASTIÃO FERREIRA,Alagoas,480000039199723
CIOBA,Rio Grande do Norte,480000039069781
CIP  BREJINHO-CANABRAVA,(NÃO CADASTRADO),""
CIP  MORRINHO E BOA VISTA,(NÃO CADASTRADO),""
CIP  REMANSO-MATA DE SÃO JOÃO,(NÃO CADASTRADO),""
CIP  SÃO MATEUS E SÃO MATEUS LESTE,(NÃO CADASTRADO),""
CIP ANGICO-ESTREITO,(NÃO CADASTRADO),""
CIP BAGRE-CHERNE,(NÃO CADASTRADO),""
CIP BARRACUDA-CARATINGA,(NÃO CADASTRADO),""
CIP BARRINHA E BARRINHA SUDOESTE,(NÃO CADASTRADO),""
CIP BARRINHA LESTE-POÇO VERDE,(NÃO CADASTRADO),""
CIP BENFICA-BOA VISTA,(NÃO CADASTRADO),""
CIP BENFICA-REDONDA PROFUNDO,(NÃO CADASTRADO),""
CIP BICUDO-ENCHOVA OESTE,(NÃO CADASTRADO),""
CIP BOA VISTA-REDONDA PROFUNDO,(NÃO CADASTRADO),""
CIP BUZIOS E TAMBUATÁ,(NÃO CADASTRADO),""
CIP CARAPANAÚBA E CUPIÚBA,(NÃO CADASTRADO),""
CIP CASSARONGONGO E TAQUIPE,(NÃO CADASTRADO),""
CIP CCN E CCNS,(NÃO CADASTRADO),""
CIP CHERNE NAMORADO,(NÃO CADASTRADO),""
CIP DOM JOÃO E DOM JOÃO MAR,(NÃO CADASTRADO),""
CIP GOMO-BONSUCESSO,(NÃO CADASTRADO),""
CIP MAÇARICO E PATURI,(NÃO CADASTRADO),""
CIP MARLIM E MARLIM SUL,(NÃO CADASTRADO),""
CIP PAMPO-BICUDO,(NÃO CADASTRADO),""
CIP PAMPO-LINGUADO,(NÃO CADASTRADO),""
CIP PARDAL-LORENA,(NÃO CADASTRADO),""
"CIP POJUCA, TAPIRANGA E TAPIRANGA NORTE",(NÃO CADASTRADO),""
CIP SÃO MATEUS LESTE E GURIRI,(NÃO CADASTRADO),""
CIP SÃO MATEUS-BIGUÁ,(NÃO CADASTRADO),""
"CIP SERRA, ARATUM E MACAU",(NÃO CADASTRADO),""
COLIBRI,Rio Grande do Norte,486100095032003
CONCEIÇÃO,Bahia,480000037029731
CONCEIÇÃO DA BARRA,Espírito Santo,""
CONCRIZ,Rio Grande do Norte,48610009134200557
CONGRO,Rio de Janeiro,480000037149711
COQUEIRO SECO,Alagoas,480000038519791
CORAL,Paraná,480000039249763
CÓRREGO CEDRO NORTE,Espírito Santo,480000037389789
CÓRREGO CEDRO NORTE SUL,Espírito Santo,48610009188200512
CÓRREGO DAS PEDRAS,Espírito Santo,480000037399741
CÓRREGO DOURADO,Espírito Santo,480000037409721
CÓRREGO GRANDE,Espírito Santo,480000037419793
CORRUIRA,Espírito Santo,48610009173200554
CORVINA,Rio de Janeiro,480000037159783
CREJOÁ,Espírito Santo,48610007484200661
CRISTO REDENTOR,(NÃO CADASTRADO),""
CUPIÚBA,Amazonas,480000038699757
CURIMÃ,Ceará,480000037769778
CURIÓ,Bahia,480000035129704
CURRAL DE FORA,Bahia,""
DENTÃO,Rio Grande do Norte,480000039079744
DIAS D'ÁVILA,Bahia,480000036439774
DOM JOÃO,Bahia,480000036449737
DOM JOÃO MAR,Bahia,480000036459708
DÓ-RÉ-MI,Sergipe,48610009198200558A
DOURADO,Sergipe,480000038389723
ENCHOVA,Rio de Janeiro,480000037199734
ENCHOVA OESTE,Rio de Janeiro,480000037209713
ESPADA,Ceará,480000037779731
ESPADARTE,Rio de Janeiro,480000038999718
ESPIGÃO (Licitado),Maranhão,""
ESTREITO,Rio Grande do Norte,480000037939797
ESTRELA DO MAR,Paraná,480000039259726
FAZENDA ALEGRE,Espírito Santo,480000037429756
FAZENDA ALTO DAS PEDRAS,Bahia,4861000400498
FAZENDA ALVORADA,Bahia,480000036469762
FAZENDA AZEVEDO,Bahia,480000036479725
FAZENDA AZEVEDO OESTE,Bahia,""
FAZENDA BÁLSAMO,Bahia,480000036489798
FAZENDA BELÉM,Bahia,480000036499751
FAZENDA BELÉM,Ceará,480000037959712
FAZENDA BOA ESPERANÇA,Bahia,480000036509730
FAZENDA BOA ESPERANÇA,Espírito Santo,""
FAZENDA BOA PAZ,(NÃO CADASTRADO),""
FAZENDA BOA VISTA,(NÃO CADASTRADO),""
FAZENDA CANAAN,Rio Grande do Norte,480000037969785
FAZENDA CEDRO,Espírito Santo,480000037439719
FAZENDA CEDRO NORTE,Espírito Santo,480000037459744
FAZENDA CURRAL,Rio Grande do Norte,480000037979748
FAZENDA FLORESTA,Bahia,""
Fazenda Gameleira,(NÃO CADASTRADO),48610222007201947
FAZENDA GAMELEIRA (Licitado),Bahia,480000038829715
FAZENDA GUINDASTE,Alagoas,480000039209711
FAZENDA IMBÉ,Bahia,480000036519701
FAZENDA IMPÉRIO,Espírito Santo,""
FAZENDA JUNCO,Rio Grande do Norte,480000039159772
FAZENDA MALAQUIAS,Rio Grande do Norte,480000037989719
FAZENDA MAMOEIRO,Bahia,""
FAZENDA MATINHA,Bahia,480000038919714
FAZENDA NOVA,Sergipe,""
FAZENDA ONÇA,Bahia,480000036529765
FAZENDA PANELAS,Bahia,480000036539728
FAZENDA PAU BRASIL,Alagoas,480000038529754
FAZENDA POCINHO,Rio Grande do Norte,480000037999773
FAZENDA QUEIMADAS,Espírito Santo,480000037449781
FAZENDA QUEIMADAS OESTE,(NÃO CADASTRADO),""
FAZENDA RIACHUELO,(NÃO CADASTRADO),""
FAZENDA RIO BRANCO,Bahia,480000036549791
FAZENDA SANTA LUZIA,Espírito Santo,480000037469715
FAZENDA SANTA ROSA,Bahia,480000038839788
FAZENDA SANTO ESTEVÃO,Bahia,480000036559753
FAZENDA SÃO JORGE,Espírito Santo,480000037479770
FAZENDA SÃO PAULO,Bahia,""
FAZENDA SÃO RAFAEL,Espírito Santo,480000037509784
FAZENDA SORI,Bahia,480000038849741
FAZENDA SORI,Bahia,48610222008201991
FOZ DO VAZA BARRIS (Licitado),Sergipe,""
FOZ DO VAZA-BARRIS,Sergipe,48610009278200511
FRADE,Rio de Janeiro,480000038969720
FURADO,Alagoas,480000038549780
GAIVOTA,Espírito Santo,48610001402200835
GALO DE CAMPINA,Rio Grande do Norte,486100092272002
GAMBOA,Bahia,""
GARÇA BRANCA,Espírito Santo,48610007064201736
GARÇA BRANCA (Licitado),Espírito Santo,48610009186200523
GAROUPA,Rio de Janeiro,480000037219786
GAROUPINHA,Rio de Janeiro,480000037229749
GAVIÃO AZUL,Maranhão,48610001418200848
GAVIÃO BRANCO,Maranhão,48610001418200848
GAVIÃO BRANCO NORTE,Maranhão,48610001415200812
GAVIÃO BRANCO OESTE,Maranhão,48610001417200801
GAVIÃO BRANCO SUDESTE,Maranhão,48610001418200848
GAVIÃO BRANCO SUL,Maranhão,48610001417200801
GAVIÃO CABOCLO,Maranhão,48610001415200812
GAVIÃO CABOCLO SUL,Maranhão,48610001417200801
GAVIÃO CARIJÓ,Maranhão,48610001413200815
GAVIÃO PRETO,Maranhão,48610001417200801
GAVIÃO REAL,Maranhão,48610001418200848
Gavião Tesoura,Maranhão,48610001415200812
GAVIÃO VERMELHO,Maranhão,48610001418200848
GOIÁ,São Paulo,48610001383200847
GOIÁ SUL,São Paulo,48610001384200891
GOLFINHO,Espírito Santo,480000035359700
GOMO,Bahia,480000036569716
GRAÚNA,Rio Grande do Norte,486100092272002
GUAIAMÁ,São Paulo,4861000475099
GUAIUBA,Rio Grande do Norte,480000039089715
GUAJÁ,Rio Grande do Norte,480000034819774
GUAMARÉ,Rio Grande do Norte,480000038009751
GUAMARÉ SUDESTE,Rio Grande do Norte,48610009155200572
GUANAMBI,Bahia,486100080172004
GUARÁ,Sergipe,48610009204200577
GUARICEMA,Sergipe,480000038399796
GURIATÃ,Bahia,48610000069201495
GURIATÃ SUL,Bahia,48610000071201464
GURIRI,Espírito Santo,480000037519747
HARPIA,Sergipe,48610009138200535
ICAPUÍ,Ceará,480000038019713
IGARAPE CUIA,(NÃO CADASTRADO),""
IGARAPÉ PUCÁ,Amazonas,480000038679721
ILHA DA CAÇUMBA,Bahia,480000037749742
ILHA DE BIMBARRA,Bahia,480000036579789
ILHA PEQUENA,Sergipe,480000038559742
INHAMBU,Espírito Santo,486100107352001
IRAÍ,Bahia,480000038929779
IRAÍ,Bahia,48610002001201611
IRAÍ LIXO 1,Bahia,48610002001201611
IRAÚNA,Rio Grande do Norte,48610007067201770
IRAÚNA,Rio Grande do Norte,486100080012004
IRERÊ,Rio Grande do Norte,486100039002000
ITAPARICA,Bahia,480000036599712
ITAPARICA,Bahia,48610007069201769
ITAPU,Rio de Janeiro,48610012913201005
JAÇANÃ,Rio Grande do Norte,486100092252002
JACARANDÁ,Bahia,""
JACUÍPE,Bahia,480000036609793
JACUMIRIM,Bahia,48610007070201793
JACUMIRIM (Licitado),Bahia,""
JACUPEMBA,Espírito Santo,486100079862004
JACUTINGA,Espírito Santo,486100094922003
JACUTINGA NORTE,Espírito Santo,48610009188200512
JANDAIA,Bahia,486100094882003
Jandaia Sul,Bahia,48610000095201413
JANDUÍ,Rio Grande do Norte,480000038029786
JAÓ,Bahia,486100092292002
JAPIIM,Amazonas,480000034609702
JAPUAÇU,Alagoas,486100038922000
JC-Alagamar,(NÃO CADASTRADO),""
JC-Upanema,(NÃO CADASTRADO),""
JEQUIÁ,Alagoas,480000038569713
JIRIBATUBA,Bahia,48610009282200571
JIRIBATUBA (Licitado),Bahia,""
JOÃO DE BARRO,Rio Grande do Norte,486100095092003
JUAZEIRO,Rio Grande do Norte,480000038039749
JUBARTE,Espírito Santo,480000035609749
JURITI,Bahia,486100080122004
JURUÁ,Amazonas,480000038709736
LAGOA AROEIRA,Rio Grande do Norte,480000038049710
LAGOA BONITA,Espírito Santo,480000037489732
LAGOA BRANCA,Bahia,480000038939731
LAGOA DAS PIABAS,Espírito Santo,""
LAGOA DO DOUTOR,Espírito Santo,48610002003201600
LAGOA DO DOUTOR (Licitado),Espírito Santo,""
LAGOA DO PAULO,Bahia,486100092312002
LAGOA DO PAULO NORTE,Bahia,486100092312002
LAGOA DO PAULO SUL,Bahia,486100092312002
LAGOA PACAS,Alagoas,480000039219775
LAGOA PARDA,Espírito Santo,480000037529718
LAGOA PARDA NORTE,Espírito Santo,480000037549735
Lagoa Parda Sul,(NÃO CADASTRADO),48610222003201969
Lagoa Parda Sul,Espírito Santo,480000037539772
LAGOA PIABANHA,Espírito Santo,480000037559706
LAGOA SURUACA,Espírito Santo,480000037579723
LAGOA VERDE,Bahia,480000036639781
LAGOSTA,São Paulo,480000035709701
LAMARÃO,Bahia,480000036649744
LAPA,São Paulo,486100038842000A
LEODÓRIO,Bahia,480000036659715
LESTE DE POÇO XAVIER,Rio Grande do Norte,4861000400098
LESTE DO URUCU,Amazonas,480000036279718
LINGUADO,Rio de Janeiro,480000037069792
LIVRAMENTO,Rio Grande do Norte,480000038059774
LIXO-PA-3BRSA1RN-BTPOT10,(estado não informado),486100092272002
LOBATO,Bahia,""
LOGRADOURO (Licitado),Rio Grande do Norte,""
LORENA,Rio Grande do Norte,480000038079708
MAÇARICO,Rio Grande do Norte,48610001502200942
MACAU,Rio Grande do Norte,480000038089762
Mãe-da-lua,Bahia,48610001427200839
MALHADO,Rio de Janeiro,480000037169746
MALOMBÊ,Bahia,480000036669770
MANATI,Bahia,480000035189782
MANDACARU,Bahia,480000036679732
MANGANGÁ,Espírito Santo,480000035609749
MAPELE,Bahia,480000036339711
MARECHAL DEODORO,(NÃO CADASTRADO),""
MARIMBÁ,Rio de Janeiro,480000037329701
MARIRICU,Espírito Santo,480000037589796
MARIRICU NORTE,Espírito Santo,480000037609738
MARIRICU OESTE,Espírito Santo,480000037599759
MARITACA,Bahia,486100080162004
MARLIM,Rio de Janeiro,480000037239710
MARLIM LESTE,Rio de Janeiro,480000039009703
MARLIM SUL,Rio de Janeiro,480000037249774
MAROMBA,Rio de Janeiro,480000035569771A
MASSAPÊ,Bahia,480000036689703
MASSUÍ,Bahia,480000036699768
MATA DE SÃO JOÃO,Bahia,480000036709747
MATO GROSSO,Sergipe,480000038579778
MATO GROSSO NOROESTE,Sergipe,48610009197200511
MATO GROSSO NORTE,Sergipe,48610009197200511
MATO GROSSO SUDOESTE,Sergipe,48610009197200511
MATO GROSSO SUL,Sergipe,48610009197200511
MERLUZA,São Paulo,480000038669769
MERO,(NÃO CADASTRADO),""
MERO,Rio de Janeiro,48610011150201310
MEXILHÃO,São Paulo,480000035769789
MIRANGA,Bahia,480000036739735
MIRANGA LESTE,Bahia,480000036759761
MIRANGA NORTE,Bahia,480000036769723
MONTE ALEGRE,Rio Grande do Norte,480000038099725
MORÉIA,Rio de Janeiro,480000037259737
MORRINHO,Rio Grande do Norte,480000038109712
MORRO DO BARRO,Bahia,48610009283200516
MORRO DO BARRO (Licitado),Bahia,""
MOSQUEIRO,(NÃO CADASTRADO),""
Mosquito,(NÃO CADASTRADO),48610222001201970
Mosquito,Espírito Santo,480000035419702
MOSQUITO NORTE,Espírito Santo,48610009188200512
MOSSORÓ,Rio Grande do Norte,480000038119777
MUTUM,Alagoas,486100038922000
NAMORADO,Rio de Janeiro,480000037289725
NATIVO OESTE,Espírito Santo,480000037619709
NAUTILUS,Espírito Santo,480000035529711
NEON,São Paulo,48610001378200834
NEON SUL,São Paulo,48610001379200889
NORDESTE DE JURUÁ,Amazonas,480000038719707
NORDESTE DE NAMORADO,Rio de Janeiro,480000037299798
NORDESTE DE SAPINHOÁ,São Paulo,48610012961201761
NOROESTE DE SAPINHOA,São Paulo,48610012961201761
NOROESTE DO MORRO ROSADO,Rio Grande do Norte,480000038129730
NORTE DE AREIA BRANCA,(NÃO CADASTRADO),""
NORTE DE BERBIGÃO,Rio de Janeiro,48610012913201005
NORTE DE FAZENDA CARUAÇU,Bahia,480000036779796
NORTE DE PESCADA,Rio Grande do Norte,480000039059719
NORTE DE SURURU,Rio de Janeiro,48610012913201005
OESTE CANOAS (Licitado),Maranhão,""
OESTE DE ATAPU,Rio de Janeiro,486100038862000A
OESTE DE UBARANA,Rio Grande do Norte,480000039109759
OLIVA,Rio de Janeiro,480000035739791
OSTRA,Espírito Santo,480000035529711
"PA 1-IMET-1-BA, 1-IMET-2-BA, 1-IMET-3-BA, 1-IMET-5-BA e 1-IMET-10D-BA (Boco REC-T-210 e REC-T-211)",(NÃO CADASTRADO),48610001439200863
PA_1ALV6DBA_REC-T-183,(NÃO CADASTRADO),48610001295200845
PA_1BRSA1063SPS_S-M-623,(NÃO CADASTRADO),48610009180200556
PA_ENTORNO_DE_SAPINHOA,(NÃO CADASTRADO),48610012961201761
PA-1ALV1BA-REC-T-129,Bahia,48610001443200821
PA-1ALV5BA_1ALV7DBA-REC-T-197,(NÃO CADASTRADO),48610001425200840
PA-1ALV8DBA_REC-T-182,Bahia,48610001427200839
PA-1APL1ESS-BMC30,(NÃO CADASTRADO),486100079742004
PA-1APL4DRJS-C-M-202_BM-C-29,(NÃO CADASTRADO),486100079732004
PA-1AURI25SE-SEAL-T-418,(NÃO CADASTRADO),48610009206200566
PA-1AURI27RN-POT-T-573,Rio Grande do Norte,48610009178200587
PA-1AURI3A-POT-T-302,(estado não informado),486100095092003
PA-1BP7RJS_BM-C-34_C-M-471_C-M-473,(NÃO CADASTRADO),48610009210200524
PA-1BRSA1001ESS-GOLFINHO,(NÃO CADASTRADO),480000035359700
PA-1BRSA1015MAS_BM-BAR-1,(NÃO CADASTRADO),486100107302001
PA-1BRSA1022SES_BM-SEAL-4,(NÃO CADASTRADO),486100080232004
PA-1BRSA1025RN_POT-T-699,Rio Grande do Norte,48610001504200931
PA-1BRSA1071ESS-ESE-M-661,(NÃO CADASTRADO),486100079802004A
PA-1BRSA1080CES-BM-CE-2,(NÃO CADASTRADO),486100107282001
PA-1BRSA1083SES-SEAL-M-426,Sergipe,486100080232004
PA-1BRSA1088SES-SEAL-M-499,(NÃO CADASTRADO),486100080222004
PA-1BRSA108Ae6BRSA497-INTEGRADO-JUBARTE-CACHALOTE,(NÃO CADASTRADO),480000035609749
PA-1BRSA108AESS-JUBARTE,(NÃO CADASTRADO),480000035609749
PA-1BRSA108A-JUBARTE,(NÃO CADASTRADO),480000035609749
PA-1BRSA108SESS-JUBARTE,(NÃO CADASTRADO),480000035609749
PA-1BRSA1104SES_SEAL-M-349,(NÃO CADASTRADO),486100080232004
PA-1BRSA1108SES_SEAL-M-424,(NÃO CADASTRADO),486100080222004
PA-1BRSA1115SPS-S-M-239,(NÃO CADASTRADO),486100080182004
PA-1BRSA1131SES-SEAL-M-569,(NÃO CADASTRADO),486100080232004
PA-1BRSA1143DESS-ES-M-527,(NÃO CADASTRADO),486100079782004A
PA-1BRSA1146RJS-IARA_ENT,(NÃO CADASTRADO),48610012913201005
PA-1BRSA1158CES-BM-POT-16,(NÃO CADASTRADO),48610009148200571
PA-1BRSA1175CES-POT-M-665,(NÃO CADASTRADO),48610009149200515
PA-1BRSA1205RNS_BM-POT-17,(NÃO CADASTRADO),48610009149200515
PA-1BRSA1221MA_BT-PN-3_PN-T-86,(NÃO CADASTRADO),48610001299200823
PA-1BRSA122RJS-BS500,(estado não informado),480000035779741
PA-1BRSA1240ES-1BRSA1241ES-4BRSA1176ES-E,Espírito Santo,48610005458201326
PA-1BRSA1264ES_BT-ES-27,Espírito Santo,48610005458201326
PA-1BRSA1289RJBM-C-35,(NÃO CADASTRADO),48610009209200516
PA-1BRSA1291DES_SEAL-T-420,Sergipe,48610000176201413
PA-1BRSA1300DBA_RECT-T-70,Bahia,48610000098201457
PA-1BRSA155RJS-BC200,(estado não informado),480000035639737
PA-1BRSA186ESS-BES100,(estado não informado),480000035359700
PA-1BRSA18ESS-BC600,(estado não informado),480000035689751
PA-1BRSA201ASPS-BS400,(estado não informado),480000035769789
PA-1BRSA213RJS-BC100,(estado não informado),480000035629774
PA-1BRSA220SPS-BS-400,(estado não informado),480000035769789
PA-1BRSA22ES-BREG,(estado não informado),480000035409731
PA-1BRSA244RJS-BMC3,(estado não informado),4861000475299
PA-1BRSA258-BT-ES-12,Espírito Santo,486100107352001
PA-1BRSA25AES-BCED,(estado não informado),480000035419702
PA-1BRSA288ARN-POTT391,(estado não informado),486100094902003
PA-1BRSA309RN-POTT391,(estado não informado),486100094902003
PA-1BRSA329DRJS-BM-S-10,(NÃO CADASTRADO),486100038852000
PA-1BRSA368RN-BT-POT-22,(estado não informado),486100094892003
